Date,Portfolio_Value,Cash,Holdings_Count
2026-08-25,500000.0,22685.40460205078,15
2026-08-26,501012.25286865234,22685.40460205078,15
2026-08-27,504109.80212402344,22685.40460205078,15
2026-08-28,507237.20947265625,22685.40460205078,15
2026-08-31,507848.8012084961,22685.40460205078,15
2026-09-01,507088.90728759766,4419.905822753906,15
2026-09-02,501102.70959472656,4419.905822753906,15
2026-09-03,503302.9094543457,4419.905822753906,15
2026-09-04,4419.905822753906,4419.905822753906,15
2026-09-07,507999.054107666,32.55810546875,15
2026-09-08,513391.0567626953,32.55810546875,15
2026-09-09,507990.96353149414,32.55810546875,15
2026-09-10,510274.9083251953,32.55810546875,15
2026-09-11,507494.3107910156,32.55810546875,15
2026-09-15,494236.0575866699,32.55810546875,15
2026-09-16,489026.8055419922,57683.70861816406,13
2026-09-17,492815.70587158203,57683.70861816406,13
2026-09-18,509225.4580078125,57683.70861816406,13
2026-09-21,505148.65756225586,101327.70861816406,12
2026-09-22,503982.25857543945,101327.70861816406,12
2026-09-23,506073.30853271484,135813.9091796875,11
2026-09-24,500580.45431518555,135813.9091796875,11
